Fri Aug 14 13:32:34 2020
Joystick Mode (120s)
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 1138}
{'Time': 9745, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9847, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10039, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10351, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10442, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10543, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10655, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 10855, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.76, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10955, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 5.75, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11056, 'Left_wheel_dist': -8, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.74, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
