Fri Aug 14 17:10:49 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 3.21, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.73, 'Loop_dt': 20, 'Acc_Accu': 1140}
{'Time': 9748, 'Left_wheel_dist': -30, 'Right_wheel_dist': -26, 'IMU_roll': -0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 3.20, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9848, 'Left_wheel_dist': -86, 'Right_wheel_dist': -66, 'IMU_roll': -0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 3.24, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.71, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9948, 'Left_wheel_dist': -139, 'Right_wheel_dist': -110, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 3.21, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.73, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10049, 'Left_wheel_dist': -192, 'Right_wheel_dist': -161, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 3.22, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.72, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10150, 'Left_wheel_dist': -245, 'Right_wheel_dist': -212, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 3.17, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10250, 'Left_wheel_dist': -296, 'Right_wheel_dist': -261, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 3.18, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10350, 'Left_wheel_dist': -349, 'Right_wheel_dist': -307, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 3.20, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10449, 'Left_wheel_dist': -400, 'Right_wheel_dist': -354, 'IMU_roll': -0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 3.20, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10550, 'Left_wheel_dist': -453, 'Right_wheel_dist': -405, 'IMU_roll': -0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 3.24, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.74, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10651, 'Left_wheel_dist': -504, 'Right_wheel_dist': -453, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 3.21, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.73, 'Loop_dt': 20, 'Acc_Accu': 8}
