Mon Aug 10 17:50:42 2020
Joystick Mode (120s)
{'Time': 9638, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 1136}
{'Time': 9740, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 0.59, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9842, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.59, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 9945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.58, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10035, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.58, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10137, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.58, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10240, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10341, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10443, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10546, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10635, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10737, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10840, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.77, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10941, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11043, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11146, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 11236, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 11338, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
