Mon Aug 10 17:57:44 2020
Joystick Mode (120s)
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.96, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 1136}
{'Time': 9746, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.96, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.97, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9939, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.97, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10041, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.97, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10143, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.97, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10246, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.98, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10348, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.98, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10439, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.97, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10542, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.98, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.98, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
