Mon Feb  8 15:08:23 2021
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 1145}
{'Time': 9747, 'Left_wheel_dist': -30, 'Right_wheel_dist': -26, 'IMU_roll': -0.02, 'IMU_pitch': -0.07, 'IMU_yaw': 3.64, 'IMU_Acc_x': -3.81, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9847, 'Left_wheel_dist': -81, 'Right_wheel_dist': -79, 'IMU_roll': -0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 3.66, 'IMU_Acc_x': -1.08, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 10.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9948, 'Left_wheel_dist': -137, 'Right_wheel_dist': -135, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10048, 'Left_wheel_dist': -188, 'Right_wheel_dist': -190, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10148, 'Left_wheel_dist': -241, 'Right_wheel_dist': -245, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10248, 'Left_wheel_dist': -292, 'Right_wheel_dist': -305, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 9.80, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10348, 'Left_wheel_dist': -345, 'Right_wheel_dist': -360, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10448, 'Left_wheel_dist': -398, 'Right_wheel_dist': -411, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 10.33, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10548, 'Left_wheel_dist': -451, 'Right_wheel_dist': -467, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.67, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 10.45, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10648, 'Left_wheel_dist': -504, 'Right_wheel_dist': -522, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.50, 'Loop_dt': 19, 'Acc_Accu': 8}
