Mon Feb  8 15:08:54 2021
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 1141}
{'Time': 9742, 'Left_wheel_dist': 37, 'Right_wheel_dist': -30, 'IMU_roll': 0.11, 'IMU_pitch': 0.06, 'IMU_yaw': 3.78, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 3.25, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9841, 'Left_wheel_dist': 84, 'Right_wheel_dist': -68, 'IMU_roll': 0.20, 'IMU_pitch': 0.08, 'IMU_yaw': 3.94, 'IMU_Acc_x': 0.94, 'IMU_Acc_y': 3.90, 'IMU_Acc_z': 9.59, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9940, 'Left_wheel_dist': 128, 'Right_wheel_dist': -117, 'IMU_roll': 0.15, 'IMU_pitch': 0.14, 'IMU_yaw': 4.11, 'IMU_Acc_x': 2.23, 'IMU_Acc_y': 0.89, 'IMU_Acc_z': 10.31, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10040, 'Left_wheel_dist': 185, 'Right_wheel_dist': -170, 'IMU_roll': 0.08, 'IMU_pitch': 0.17, 'IMU_yaw': 4.26, 'IMU_Acc_x': 1.98, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.33, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10140, 'Left_wheel_dist': 241, 'Right_wheel_dist': -223, 'IMU_roll': 0.03, 'IMU_pitch': 0.19, 'IMU_yaw': 4.37, 'IMU_Acc_x': 2.28, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10240, 'Left_wheel_dist': 298, 'Right_wheel_dist': -274, 'IMU_roll': 0.01, 'IMU_pitch': 0.18, 'IMU_yaw': 4.48, 'IMU_Acc_x': 2.11, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10339, 'Left_wheel_dist': 356, 'Right_wheel_dist': -323, 'IMU_roll': 0.02, 'IMU_pitch': 0.16, 'IMU_yaw': 4.60, 'IMU_Acc_x': 2.02, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.07, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10439, 'Left_wheel_dist': 407, 'Right_wheel_dist': -380, 'IMU_roll': -0.00, 'IMU_pitch': 0.18, 'IMU_yaw': 4.72, 'IMU_Acc_x': 2.16, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10541, 'Left_wheel_dist': 464, 'Right_wheel_dist': -436, 'IMU_roll': -0.00, 'IMU_pitch': 0.18, 'IMU_yaw': 4.86, 'IMU_Acc_x': 2.04, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 9.62, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 10640, 'Left_wheel_dist': 513, 'Right_wheel_dist': -482, 'IMU_roll': 0.00, 'IMU_pitch': 0.19, 'IMU_yaw': 5.00, 'IMU_Acc_x': 2.14, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 10.11, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10739, 'Left_wheel_dist': 568, 'Right_wheel_dist': -529, 'IMU_roll': 0.01, 'IMU_pitch': 0.17, 'IMU_yaw': 5.14, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10839, 'Left_wheel_dist': 617, 'Right_wheel_dist': -580, 'IMU_roll': 0.03, 'IMU_pitch': 0.18, 'IMU_yaw': 5.29, 'IMU_Acc_x': 1.98, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.75, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10937, 'Left_wheel_dist': 673, 'Right_wheel_dist': -630, 'IMU_roll': 0.03, 'IMU_pitch': 0.18, 'IMU_yaw': 5.44, 'IMU_Acc_x': 2.07, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11045, 'Left_wheel_dist': 730, 'Right_wheel_dist': -681, 'IMU_roll': 0.03, 'IMU_pitch': 0.19, 'IMU_yaw': 5.61, 'IMU_Acc_x': 1.95, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.75, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11145, 'Left_wheel_dist': 783, 'Right_wheel_dist': -730, 'IMU_roll': 0.03, 'IMU_pitch': 0.19, 'IMU_yaw': 5.77, 'IMU_Acc_x': 2.26, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 10.01, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11245, 'Left_wheel_dist': 832, 'Right_wheel_dist': -783, 'IMU_roll': 0.03, 'IMU_pitch': 0.20, 'IMU_yaw': 5.93, 'IMU_Acc_x': 1.92, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.67, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11345, 'Left_wheel_dist': 885, 'Right_wheel_dist': -836, 'IMU_roll': 0.02, 'IMU_pitch': 0.21, 'IMU_yaw': 6.09, 'IMU_Acc_x': 2.03, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.57, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11445, 'Left_wheel_dist': 936, 'Right_wheel_dist': -883, 'IMU_roll': 0.03, 'IMU_pitch': 0.20, 'IMU_yaw': 6.25, 'IMU_Acc_x': 2.01, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11545, 'Left_wheel_dist': 989, 'Right_wheel_dist': -932, 'IMU_roll': 0.05, 'IMU_pitch': 0.19, 'IMU_yaw': 0.15, 'IMU_Acc_x': 1.88, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11644, 'Left_wheel_dist': 1040, 'Right_wheel_dist': -982, 'IMU_roll': 0.07, 'IMU_pitch': 0.19, 'IMU_yaw': 0.33, 'IMU_Acc_x': 2.26, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.96, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11743, 'Left_wheel_dist': 1093, 'Right_wheel_dist': -1031, 'IMU_roll': 0.06, 'IMU_pitch': 0.15, 'IMU_yaw': 0.51, 'IMU_Acc_x': 1.76, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.71, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11842, 'Left_wheel_dist': 1144, 'Right_wheel_dist': -1078, 'IMU_roll': 0.08, 'IMU_pitch': 0.13, 'IMU_yaw': 0.70, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11941, 'Left_wheel_dist': 1195, 'Right_wheel_dist': -1126, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 0.88, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': 0.36, 'IMU_Acc_z': 9.66, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12041, 'Left_wheel_dist': 1246, 'Right_wheel_dist': -1182, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 1.11, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12141, 'Left_wheel_dist': 1297, 'Right_wheel_dist': -1233, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 1.35, 'IMU_Acc_x': 1.85, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12241, 'Left_wheel_dist': 1352, 'Right_wheel_dist': -1279, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 1.59, 'IMU_Acc_x': 1.63, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12341, 'Left_wheel_dist': 1401, 'Right_wheel_dist': -1323, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 1.85, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12441, 'Left_wheel_dist': 1456, 'Right_wheel_dist': -1377, 'IMU_roll': -0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 2.10, 'IMU_Acc_x': 1.83, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12540, 'Left_wheel_dist': 1507, 'Right_wheel_dist': -1427, 'IMU_roll': -0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 2.32, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.62, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12640, 'Left_wheel_dist': 1560, 'Right_wheel_dist': -1472, 'IMU_roll': -0.00, 'IMU_pitch': 0.12, 'IMU_yaw': 2.59, 'IMU_Acc_x': 1.39, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12740, 'Left_wheel_dist': 1609, 'Right_wheel_dist': -1520, 'IMU_roll': 0.01, 'IMU_pitch': 0.15, 'IMU_yaw': 2.80, 'IMU_Acc_x': 1.58, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12840, 'Left_wheel_dist': 1662, 'Right_wheel_dist': -1574, 'IMU_roll': 0.00, 'IMU_pitch': 0.18, 'IMU_yaw': 3.03, 'IMU_Acc_x': 1.52, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12940, 'Left_wheel_dist': 1711, 'Right_wheel_dist': -1627, 'IMU_roll': -0.03, 'IMU_pitch': 0.20, 'IMU_yaw': 3.16, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
