Mon Feb  8 15:10:01 2021
Program 5: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 2, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.57, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 1142}
{'Time': 9748, 'Left_wheel_dist': -33, 'Right_wheel_dist': -24, 'IMU_roll': -0.04, 'IMU_pitch': -0.06, 'IMU_yaw': 3.56, 'IMU_Acc_x': -3.56, 'IMU_Acc_y': -1.23, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9847, 'Left_wheel_dist': -86, 'Right_wheel_dist': -64, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 3.55, 'IMU_Acc_x': -0.92, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.45, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9948, 'Left_wheel_dist': -141, 'Right_wheel_dist': -108, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.55, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10048, 'Left_wheel_dist': -192, 'Right_wheel_dist': -159, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.53, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10148, 'Left_wheel_dist': -245, 'Right_wheel_dist': -212, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10249, 'Left_wheel_dist': -296, 'Right_wheel_dist': -256, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 10.15, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10348, 'Left_wheel_dist': -349, 'Right_wheel_dist': -298, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.50, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10449, 'Left_wheel_dist': -402, 'Right_wheel_dist': -345, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.52, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10549, 'Left_wheel_dist': -458, 'Right_wheel_dist': -398, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.59, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10649, 'Left_wheel_dist': -509, 'Right_wheel_dist': -444, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10749, 'Left_wheel_dist': -560, 'Right_wheel_dist': -491, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 3.51, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10848, 'Left_wheel_dist': -608, 'Right_wheel_dist': -540, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10948, 'Left_wheel_dist': -664, 'Right_wheel_dist': -591, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11047, 'Left_wheel_dist': -710, 'Right_wheel_dist': -642, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11147, 'Left_wheel_dist': -766, 'Right_wheel_dist': -688, 'IMU_roll': -0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 10.24, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11248, 'Left_wheel_dist': -819, 'Right_wheel_dist': -735, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.49, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11348, 'Left_wheel_dist': -872, 'Right_wheel_dist': -788, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.50, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11448, 'Left_wheel_dist': -920, 'Right_wheel_dist': -834, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 10.21, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11548, 'Left_wheel_dist': -974, 'Right_wheel_dist': -883, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.07, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11653, 'Left_wheel_dist': -996, 'Right_wheel_dist': -932, 'IMU_roll': 0.10, 'IMU_pitch': 0.11, 'IMU_yaw': 3.50, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 1.58, 'IMU_Acc_z': 9.83, 'Loop_dt': 20, 'Acc_Accu': 9}
