Mon Nov 30 12:24:44 2020
Joystick Mode (120s)
{'Time': 9647, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 1135}
{'Time': 9749, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.78, 'IMU_Acc_x': 1.06, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9851, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.88, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9945, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10043, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10156, 'Left_wheel_dist': -8, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 5.76, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.98, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 10256, 'Left_wheel_dist': -30, 'Right_wheel_dist': -8, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 5.74, 'IMU_Acc_x': -0.66, 'IMU_Acc_y': -0.89, 'IMU_Acc_z': 9.96, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10357, 'Left_wheel_dist': -57, 'Right_wheel_dist': -26, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10445, 'Left_wheel_dist': -81, 'Right_wheel_dist': -46, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 10547, 'Left_wheel_dist': -112, 'Right_wheel_dist': -75, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10648, 'Left_wheel_dist': -143, 'Right_wheel_dist': -104, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10749, 'Left_wheel_dist': -177, 'Right_wheel_dist': -132, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.69, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10851, 'Left_wheel_dist': -212, 'Right_wheel_dist': -157, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10952, 'Left_wheel_dist': -247, 'Right_wheel_dist': -183, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.86, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.94, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11056, 'Left_wheel_dist': -278, 'Right_wheel_dist': -212, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11156, 'Left_wheel_dist': -312, 'Right_wheel_dist': -241, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.64, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11257, 'Left_wheel_dist': -352, 'Right_wheel_dist': -274, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.63, 'IMU_Acc_x': 0.75, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 10.02, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11346, 'Left_wheel_dist': -385, 'Right_wheel_dist': -303, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.63, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 11448, 'Left_wheel_dist': -427, 'Right_wheel_dist': -340, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.62, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11549, 'Left_wheel_dist': -475, 'Right_wheel_dist': -385, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.62, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11651, 'Left_wheel_dist': -524, 'Right_wheel_dist': -438, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.61, 'IMU_Acc_x': 0.86, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11751, 'Left_wheel_dist': -571, 'Right_wheel_dist': -489, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 5.61, 'IMU_Acc_x': 0.87, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.64, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11852, 'Left_wheel_dist': -622, 'Right_wheel_dist': -535, 'IMU_roll': -0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 5.60, 'IMU_Acc_x': 1.05, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.31, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11954, 'Left_wheel_dist': -670, 'Right_wheel_dist': -577, 'IMU_roll': 0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 5.59, 'IMU_Acc_x': 0.95, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.68, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12055, 'Left_wheel_dist': -717, 'Right_wheel_dist': -626, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.59, 'IMU_Acc_x': 1.11, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 10.03, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12156, 'Left_wheel_dist': -766, 'Right_wheel_dist': -677, 'IMU_roll': -0.00, 'IMU_pitch': 0.11, 'IMU_yaw': 5.58, 'IMU_Acc_x': 1.19, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 10.07, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12259, 'Left_wheel_dist': -808, 'Right_wheel_dist': -717, 'IMU_roll': -0.00, 'IMU_pitch': 0.13, 'IMU_yaw': 5.58, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 12347, 'Left_wheel_dist': -845, 'Right_wheel_dist': -754, 'IMU_roll': 0.00, 'IMU_pitch': 0.13, 'IMU_yaw': 5.57, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 10.31, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12448, 'Left_wheel_dist': -885, 'Right_wheel_dist': -792, 'IMU_roll': 0.00, 'IMU_pitch': 0.14, 'IMU_yaw': 5.57, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.21, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12550, 'Left_wheel_dist': -925, 'Right_wheel_dist': -834, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.56, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.19, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12650, 'Left_wheel_dist': -967, 'Right_wheel_dist': -878, 'IMU_roll': 0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 5.56, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12751, 'Left_wheel_dist': -1005, 'Right_wheel_dist': -914, 'IMU_roll': -0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 5.55, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 6.11, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12854, 'Left_wheel_dist': -1044, 'Right_wheel_dist': -949, 'IMU_roll': -0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 5.54, 'IMU_Acc_x': 2.65, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 15.32, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 12955, 'Left_wheel_dist': -1082, 'Right_wheel_dist': -989, 'IMU_roll': 0.01, 'IMU_pitch': 0.22, 'IMU_yaw': 5.54, 'IMU_Acc_x': 3.90, 'IMU_Acc_y': 0.70, 'IMU_Acc_z': 10.48, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13057, 'Left_wheel_dist': -1115, 'Right_wheel_dist': -1025, 'IMU_roll': 0.02, 'IMU_pitch': 0.22, 'IMU_yaw': 5.54, 'IMU_Acc_x': 2.44, 'IMU_Acc_y': 0.52, 'IMU_Acc_z': 8.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13157, 'Left_wheel_dist': -1149, 'Right_wheel_dist': -1056, 'IMU_roll': -0.01, 'IMU_pitch': 0.20, 'IMU_yaw': 5.53, 'IMU_Acc_x': 2.13, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 10.02, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13258, 'Left_wheel_dist': -1180, 'Right_wheel_dist': -1084, 'IMU_roll': -0.00, 'IMU_pitch': 0.17, 'IMU_yaw': 5.52, 'IMU_Acc_x': 1.72, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.92, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13360, 'Left_wheel_dist': -1215, 'Right_wheel_dist': -1113, 'IMU_roll': 0.01, 'IMU_pitch': 0.15, 'IMU_yaw': 5.51, 'IMU_Acc_x': 1.38, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 10.49, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13460, 'Left_wheel_dist': -1253, 'Right_wheel_dist': -1149, 'IMU_roll': 0.02, 'IMU_pitch': 0.16, 'IMU_yaw': 5.51, 'IMU_Acc_x': 1.86, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 10.13, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13549, 'Left_wheel_dist': -1284, 'Right_wheel_dist': -1180, 'IMU_roll': 0.01, 'IMU_pitch': 0.15, 'IMU_yaw': 5.51, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.43, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13650, 'Left_wheel_dist': -1323, 'Right_wheel_dist': -1224, 'IMU_roll': 0.02, 'IMU_pitch': 0.12, 'IMU_yaw': 5.51, 'IMU_Acc_x': 1.09, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.11, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13752, 'Left_wheel_dist': -1363, 'Right_wheel_dist': -1279, 'IMU_roll': 0.02, 'IMU_pitch': 0.12, 'IMU_yaw': 5.51, 'IMU_Acc_x': 1.90, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.92, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13853, 'Left_wheel_dist': -1399, 'Right_wheel_dist': -1315, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 5.51, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 1.42, 'IMU_Acc_z': 9.54, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13955, 'Left_wheel_dist': -1439, 'Right_wheel_dist': -1352, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 5.50, 'IMU_Acc_x': 1.10, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14055, 'Left_wheel_dist': -1478, 'Right_wheel_dist': -1383, 'IMU_roll': 0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 5.49, 'IMU_Acc_x': 0.89, 'IMU_Acc_y': 0.66, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14156, 'Left_wheel_dist': -1525, 'Right_wheel_dist': -1421, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.48, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': 0.61, 'IMU_Acc_z': 10.15, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14258, 'Left_wheel_dist': -1576, 'Right_wheel_dist': -1461, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.47, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.35, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14359, 'Left_wheel_dist': -1607, 'Right_wheel_dist': -1494, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.47, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.57, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14460, 'Left_wheel_dist': -1649, 'Right_wheel_dist': -1532, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14563, 'Left_wheel_dist': -1691, 'Right_wheel_dist': -1576, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.04, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14651, 'Left_wheel_dist': -1735, 'Right_wheel_dist': -1622, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.60, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14754, 'Left_wheel_dist': -1786, 'Right_wheel_dist': -1682, 'IMU_roll': -0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14859, 'Left_wheel_dist': -1848, 'Right_wheel_dist': -1740, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 10.00, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14963, 'Left_wheel_dist': -1906, 'Right_wheel_dist': -1795, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.46, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 10.04, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15053, 'Left_wheel_dist': -1954, 'Right_wheel_dist': -1844, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.45, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15158, 'Left_wheel_dist': -2001, 'Right_wheel_dist': -1888, 'IMU_roll': -0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 5.44, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 9.83, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 15261, 'Left_wheel_dist': -2054, 'Right_wheel_dist': -1923, 'IMU_roll': -0.07, 'IMU_pitch': 0.05, 'IMU_yaw': 5.41, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
