Mon Nov 30 12:27:07 2020
Joystick Mode (120s)
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 1132}
{'Time': 9747, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9838, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 9940, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10042, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10144, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10247, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10440, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10544, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10641, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 0.68, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10741, 'Left_wheel_dist': 6, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10842, 'Left_wheel_dist': 13, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10941, 'Left_wheel_dist': 13, 'Right_wheel_dist': 0, 'IMU_roll': -0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
