Mon Nov  1 09:39:38 2021
Program 5: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.55, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 1148}
{'Time': 9750, 'Left_wheel_dist': -37, 'Right_wheel_dist': -26, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.53, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9849, 'Left_wheel_dist': -84, 'Right_wheel_dist': -68, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.53, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9949, 'Left_wheel_dist': -132, 'Right_wheel_dist': -110, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.53, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10049, 'Left_wheel_dist': -179, 'Right_wheel_dist': -154, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.52, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10149, 'Left_wheel_dist': -228, 'Right_wheel_dist': -194, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.52, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10249, 'Left_wheel_dist': -276, 'Right_wheel_dist': -234, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.51, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10349, 'Left_wheel_dist': -327, 'Right_wheel_dist': -281, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.50, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10448, 'Left_wheel_dist': -376, 'Right_wheel_dist': -327, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.50, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10548, 'Left_wheel_dist': -429, 'Right_wheel_dist': -369, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.50, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10647, 'Left_wheel_dist': -478, 'Right_wheel_dist': -413, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.50, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
