Mon Nov  9 11:56:06 2020
Joystick Mode (120s)
{'Time': 9643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 25, 'Acc_Accu': 1137}
{'Time': 9737, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.15, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 9837, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.14, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 9937, 'Left_wheel_dist': 0, 'Right_wheel_dist': -2, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.14, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10040, 'Left_wheel_dist': -37, 'Right_wheel_dist': -28, 'IMU_roll': -0.04, 'IMU_pitch': -0.06, 'IMU_yaw': 5.12, 'IMU_Acc_x': -3.19, 'IMU_Acc_y': -1.18, 'IMU_Acc_z': 10.40, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10143, 'Left_wheel_dist': -90, 'Right_wheel_dist': -68, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 5.12, 'IMU_Acc_x': -0.68, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 10.01, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10235, 'Left_wheel_dist': -86, 'Right_wheel_dist': -73, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.09, 'IMU_Acc_x': 3.98, 'IMU_Acc_y': -0.53, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10338, 'Left_wheel_dist': -97, 'Right_wheel_dist': -81, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 5.06, 'IMU_Acc_x': 1.89, 'IMU_Acc_y': 1.03, 'IMU_Acc_z': 9.61, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10441, 'Left_wheel_dist': -99, 'Right_wheel_dist': -81, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10545, 'Left_wheel_dist': -99, 'Right_wheel_dist': -81, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.97, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10637, 'Left_wheel_dist': -99, 'Right_wheel_dist': -84, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.98, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10737, 'Left_wheel_dist': -99, 'Right_wheel_dist': -84, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 4.99, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10838, 'Left_wheel_dist': -99, 'Right_wheel_dist': -84, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.00, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10937, 'Left_wheel_dist': -99, 'Right_wheel_dist': -84, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.00, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11037, 'Left_wheel_dist': -99, 'Right_wheel_dist': -81, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
