Mon Nov  9 12:05:36 2020
Joystick Mode (120s)
{'Time': 9649, 'Left_wheel_dist': -19, 'Right_wheel_dist': -13, 'IMU_roll': -0.01, 'IMU_pitch': -0.07, 'IMU_yaw': 3.60, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 1140}
{'Time': 9743, 'Left_wheel_dist': -26, 'Right_wheel_dist': -13, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.59, 'IMU_Acc_x': 1.94, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.72, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 9846, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': -0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 3.69, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.37, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9950, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 3.66, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.93, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10041, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.56, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.85, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10143, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.62, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10245, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.67, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.80, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10341, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 3.58, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10454, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.55, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 10552, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 3.63, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10651, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.63, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10752, 'Left_wheel_dist': -11, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 3.53, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10852, 'Left_wheel_dist': -22, 'Right_wheel_dist': -2, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 3.52, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.95, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10946, 'Left_wheel_dist': -22, 'Right_wheel_dist': -2, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 3.60, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.53, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 11049, 'Left_wheel_dist': -11, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.74, 'IMU_Acc_y': 0.80, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11144, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 3.59, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11243, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.56, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11343, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11444, 'Left_wheel_dist': -11, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11544, 'Left_wheel_dist': -22, 'Right_wheel_dist': -6, 'IMU_roll': 0.02, 'IMU_pitch': -0.04, 'IMU_yaw': 3.58, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 10.12, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11645, 'Left_wheel_dist': -48, 'Right_wheel_dist': -22, 'IMU_roll': 0.02, 'IMU_pitch': -0.04, 'IMU_yaw': 3.62, 'IMU_Acc_x': -0.56, 'IMU_Acc_y': 0.54, 'IMU_Acc_z': 10.58, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11747, 'Left_wheel_dist': -73, 'Right_wheel_dist': -57, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 8.48, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11848, 'Left_wheel_dist': -112, 'Right_wheel_dist': -112, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 3.70, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': 1.40, 'IMU_Acc_z': 9.21, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11948, 'Left_wheel_dist': -132, 'Right_wheel_dist': -130, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.66, 'IMU_Acc_x': -0.97, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 10.36, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 12050, 'Left_wheel_dist': -128, 'Right_wheel_dist': -119, 'IMU_roll': -0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 3.73, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.96, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12142, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.78, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 10.40, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 12247, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': 0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 3.71, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12348, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12450, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12541, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 3.72, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 12643, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.60, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
