Mon Nov  9 12:14:47 2020
Joystick Mode (120s)
{'Time': 9649, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 1141}
{'Time': 9751, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.90, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 9840, 'Left_wheel_dist': -15, 'Right_wheel_dist': -8, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 9943, 'Left_wheel_dist': -22, 'Right_wheel_dist': -8, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10045, 'Left_wheel_dist': -30, 'Right_wheel_dist': -15, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.88, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10148, 'Left_wheel_dist': -42, 'Right_wheel_dist': -19, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.86, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10252, 'Left_wheel_dist': -55, 'Right_wheel_dist': -35, 'IMU_roll': 0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 3.87, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10341, 'Left_wheel_dist': -66, 'Right_wheel_dist': -50, 'IMU_roll': 0.08, 'IMU_pitch': 0.03, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.79, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 10443, 'Left_wheel_dist': -68, 'Right_wheel_dist': -70, 'IMU_roll': 0.08, 'IMU_pitch': 0.06, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.77, 'IMU_Acc_z': 9.60, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10546, 'Left_wheel_dist': -66, 'Right_wheel_dist': -95, 'IMU_roll': 0.06, 'IMU_pitch': 0.07, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.69, 'IMU_Acc_z': 9.70, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10648, 'Left_wheel_dist': -61, 'Right_wheel_dist': -117, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 3.94, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
