Mon Oct 12 11:44:37 2020
Joystick Mode (120s)
{'Time': 9648, 'Left_wheel_dist': -37, 'Right_wheel_dist': -28, 'IMU_roll': -0.00, 'IMU_pitch': -0.07, 'IMU_yaw': 4.16, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 1139}
{'Time': 9739, 'Left_wheel_dist': -53, 'Right_wheel_dist': -39, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 4.16, 'IMU_Acc_x': 1.47, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 10.74, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 9842, 'Left_wheel_dist': -66, 'Right_wheel_dist': -50, 'IMU_roll': 0.02, 'IMU_pitch': 0.11, 'IMU_yaw': 4.16, 'IMU_Acc_x': 2.80, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 9.85, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9946, 'Left_wheel_dist': -68, 'Right_wheel_dist': -53, 'IMU_roll': 0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.97, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10039, 'Left_wheel_dist': -68, 'Right_wheel_dist': -53, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10139, 'Left_wheel_dist': -68, 'Right_wheel_dist': -53, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10240, 'Left_wheel_dist': -73, 'Right_wheel_dist': -53, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10340, 'Left_wheel_dist': -112, 'Right_wheel_dist': -81, 'IMU_roll': -0.04, 'IMU_pitch': -0.11, 'IMU_yaw': 4.13, 'IMU_Acc_x': -4.23, 'IMU_Acc_y': -0.88, 'IMU_Acc_z': 9.67, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10441, 'Left_wheel_dist': -179, 'Right_wheel_dist': -148, 'IMU_roll': -0.00, 'IMU_pitch': -0.11, 'IMU_yaw': 4.15, 'IMU_Acc_x': -1.93, 'IMU_Acc_y': 0.75, 'IMU_Acc_z': 10.09, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10543, 'Left_wheel_dist': -259, 'Right_wheel_dist': -223, 'IMU_roll': -0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 4.17, 'IMU_Acc_x': -0.49, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 10.15, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10644, 'Left_wheel_dist': -343, 'Right_wheel_dist': -303, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 4.17, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10745, 'Left_wheel_dist': -427, 'Right_wheel_dist': -389, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.92, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10847, 'Left_wheel_dist': -511, 'Right_wheel_dist': -469, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.16, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10948, 'Left_wheel_dist': -597, 'Right_wheel_dist': -555, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.05, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11049, 'Left_wheel_dist': -686, 'Right_wheel_dist': -639, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11150, 'Left_wheel_dist': -770, 'Right_wheel_dist': -728, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11251, 'Left_wheel_dist': -858, 'Right_wheel_dist': -814, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.95, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11339, 'Left_wheel_dist': -934, 'Right_wheel_dist': -883, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.65, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 11441, 'Left_wheel_dist': -1025, 'Right_wheel_dist': -974, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11541, 'Left_wheel_dist': -1109, 'Right_wheel_dist': -1056, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.11, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.35, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11642, 'Left_wheel_dist': -1195, 'Right_wheel_dist': -1146, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11744, 'Left_wheel_dist': -1281, 'Right_wheel_dist': -1233, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 4.10, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11845, 'Left_wheel_dist': -1370, 'Right_wheel_dist': -1317, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.09, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.22, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11947, 'Left_wheel_dist': -1458, 'Right_wheel_dist': -1403, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 10.06, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12047, 'Left_wheel_dist': -1545, 'Right_wheel_dist': -1487, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 10.19, 'Loop_dt': 23, 'Acc_Accu': 6}
