Mon Oct 12 11:58:22 2020
Joystick Mode (120s)
{'Time': 9639, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.16, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 1137}
{'Time': 9741, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.16, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.88, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.17, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.88, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9946, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 1.17, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10037, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.18, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10139, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.18, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10242, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10343, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10445, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10548, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10638, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10740, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11139, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11240, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11342, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11445, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11547, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11637, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 11740, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11842, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11944, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12239, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 12342, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12444, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12547, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 7}
