Sat Aug 15 16:34:34 2020
Joystick Mode (120s)
{'Time': 9641, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 1134}
{'Time': 9743, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 9944, 'Left_wheel_dist': 6, 'Right_wheel_dist': 2, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10043, 'Left_wheel_dist': 24, 'Right_wheel_dist': 15, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 2.03, 'IMU_Acc_x': 1.46, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10144, 'Left_wheel_dist': 37, 'Right_wheel_dist': 26, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 2.05, 'IMU_Acc_x': -0.80, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10247, 'Left_wheel_dist': 44, 'Right_wheel_dist': 33, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 2.05, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.84, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 10347, 'Left_wheel_dist': 46, 'Right_wheel_dist': 35, 'IMU_roll': -0.02, 'IMU_pitch': -0.04, 'IMU_yaw': 2.04, 'IMU_Acc_x': -0.62, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10448, 'Left_wheel_dist': 73, 'Right_wheel_dist': 55, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 2.04, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10550, 'Left_wheel_dist': 126, 'Right_wheel_dist': 99, 'IMU_roll': -0.02, 'IMU_pitch': 0.15, 'IMU_yaw': 2.06, 'IMU_Acc_x': 2.28, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10651, 'Left_wheel_dist': 188, 'Right_wheel_dist': 166, 'IMU_roll': -0.01, 'IMU_pitch': 0.20, 'IMU_yaw': 2.08, 'IMU_Acc_x': 2.32, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.40, 'Loop_dt': 23, 'Acc_Accu': 6}
