Sun Dec 20 16:51:45 2020
Program 7: 2s Stillstand, 1s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9641, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 5.92, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 1144}
{'Time': 9744, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 5.93, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9841, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.92, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9946, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.92, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10041, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.92, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10145, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.81, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10242, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10442, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10547, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.90, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
