Sun Oct 11 08:33:53 2020
Joystick Mode (120s)
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 0.25, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 1132}
{'Time': 9745, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.24, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9842, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.23, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 9943, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.21, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10042, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10142, 'Left_wheel_dist': -26, 'Right_wheel_dist': -11, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.19, 'IMU_Acc_x': -0.77, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10245, 'Left_wheel_dist': -70, 'Right_wheel_dist': -50, 'IMU_roll': 0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 0.18, 'IMU_Acc_x': -1.13, 'IMU_Acc_y': 0.47, 'IMU_Acc_z': 9.78, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 10343, 'Left_wheel_dist': -92, 'Right_wheel_dist': -73, 'IMU_roll': 0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 0.18, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10446, 'Left_wheel_dist': -92, 'Right_wheel_dist': -88, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.18, 'IMU_Acc_x': 1.04, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10552, 'Left_wheel_dist': -92, 'Right_wheel_dist': -97, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.19, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 10652, 'Left_wheel_dist': -92, 'Right_wheel_dist': -99, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 0.19, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10753, 'Left_wheel_dist': -95, 'Right_wheel_dist': -99, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.18, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10853, 'Left_wheel_dist': -117, 'Right_wheel_dist': -106, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10941, 'Left_wheel_dist': -148, 'Right_wheel_dist': -130, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.19, 'IMU_Acc_x': -1.06, 'IMU_Acc_y': 0.63, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 11043, 'Left_wheel_dist': -181, 'Right_wheel_dist': -152, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.19, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
