Sun Oct 11 08:36:44 2020
Joystick Mode (120s)
{'Time': 9644, 'Left_wheel_dist': -8, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.27, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 1133}
{'Time': 9744, 'Left_wheel_dist': -17, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.24, 'IMU_Acc_x': -0.31, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 9845, 'Left_wheel_dist': -30, 'Right_wheel_dist': -2, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.21, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 9947, 'Left_wheel_dist': -42, 'Right_wheel_dist': -4, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.19, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10047, 'Left_wheel_dist': -53, 'Right_wheel_dist': -8, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.17, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10148, 'Left_wheel_dist': -64, 'Right_wheel_dist': -11, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10236, 'Left_wheel_dist': -75, 'Right_wheel_dist': -15, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 10338, 'Left_wheel_dist': -88, 'Right_wheel_dist': -22, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.12, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10439, 'Left_wheel_dist': -99, 'Right_wheel_dist': -26, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10541, 'Left_wheel_dist': -112, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.19, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10641, 'Left_wheel_dist': -123, 'Right_wheel_dist': -39, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10743, 'Left_wheel_dist': -137, 'Right_wheel_dist': -48, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10846, 'Left_wheel_dist': -148, 'Right_wheel_dist': -59, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.06, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.81, 'Loop_dt': 25, 'Acc_Accu': 6}
