Tue Aug  3 17:27:40 2021
Program 7: 2s Stillstand, 3s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 1145}
{'Time': 9752, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9951, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10048, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10151, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10248, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10352, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10448, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10551, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10655, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10750, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10854, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11054, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11252, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11454, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11552, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11653, 'Left_wheel_dist': 37, 'Right_wheel_dist': -33, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.76, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11753, 'Left_wheel_dist': 86, 'Right_wheel_dist': -79, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11853, 'Left_wheel_dist': 141, 'Right_wheel_dist': -121, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11954, 'Left_wheel_dist': 192, 'Right_wheel_dist': -166, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12053, 'Left_wheel_dist': 245, 'Right_wheel_dist': -214, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12153, 'Left_wheel_dist': 296, 'Right_wheel_dist': -265, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12254, 'Left_wheel_dist': 347, 'Right_wheel_dist': -307, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12354, 'Left_wheel_dist': 398, 'Right_wheel_dist': -352, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12455, 'Left_wheel_dist': 449, 'Right_wheel_dist': -400, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12554, 'Left_wheel_dist': 498, 'Right_wheel_dist': -449, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12653, 'Left_wheel_dist': 549, 'Right_wheel_dist': -495, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12753, 'Left_wheel_dist': 599, 'Right_wheel_dist': -542, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12853, 'Left_wheel_dist': 653, 'Right_wheel_dist': -591, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
