Tue Aug  3 17:30:31 2021
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 1145}
{'Time': 9750, 'Left_wheel_dist': -37, 'Right_wheel_dist': -33, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9849, 'Left_wheel_dist': -88, 'Right_wheel_dist': -81, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9950, 'Left_wheel_dist': -139, 'Right_wheel_dist': -126, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10051, 'Left_wheel_dist': -192, 'Right_wheel_dist': -172, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10152, 'Left_wheel_dist': -245, 'Right_wheel_dist': -221, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10251, 'Left_wheel_dist': -298, 'Right_wheel_dist': -270, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10350, 'Left_wheel_dist': -349, 'Right_wheel_dist': -316, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10450, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10551, 'Left_wheel_dist': -453, 'Right_wheel_dist': -405, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10652, 'Left_wheel_dist': -506, 'Right_wheel_dist': -456, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10753, 'Left_wheel_dist': -555, 'Right_wheel_dist': -506, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10851, 'Left_wheel_dist': -608, 'Right_wheel_dist': -551, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10950, 'Left_wheel_dist': -655, 'Right_wheel_dist': -597, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
