Tue Aug  3 17:52:17 2021
Program 5: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 1143}
{'Time': 9745, 'Left_wheel_dist': -30, 'Right_wheel_dist': -33, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9845, 'Left_wheel_dist': -86, 'Right_wheel_dist': -77, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 9946, 'Left_wheel_dist': -137, 'Right_wheel_dist': -119, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.82, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10046, 'Left_wheel_dist': -190, 'Right_wheel_dist': -159, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10146, 'Left_wheel_dist': -239, 'Right_wheel_dist': -208, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10247, 'Left_wheel_dist': -292, 'Right_wheel_dist': -256, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.76, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10347, 'Left_wheel_dist': -340, 'Right_wheel_dist': -301, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10447, 'Left_wheel_dist': -394, 'Right_wheel_dist': -345, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10548, 'Left_wheel_dist': -442, 'Right_wheel_dist': -396, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10647, 'Left_wheel_dist': -495, 'Right_wheel_dist': -447, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10747, 'Left_wheel_dist': -546, 'Right_wheel_dist': -493, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10848, 'Left_wheel_dist': -599, 'Right_wheel_dist': -540, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10949, 'Left_wheel_dist': -650, 'Right_wheel_dist': -588, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11040, 'Left_wheel_dist': -697, 'Right_wheel_dist': -635, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 11141, 'Left_wheel_dist': -746, 'Right_wheel_dist': -681, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11242, 'Left_wheel_dist': -797, 'Right_wheel_dist': -730, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11343, 'Left_wheel_dist': -847, 'Right_wheel_dist': -779, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.76, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11443, 'Left_wheel_dist': -898, 'Right_wheel_dist': -830, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11542, 'Left_wheel_dist': -949, 'Right_wheel_dist': -876, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
