Wed Feb 10 13:32:02 2021
Program 6: 2s Stillstand, 3s geradeaus bei 0.5m/s
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 1146}
{'Time': 9754, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9859, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 9954, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10057, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10153, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10258, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10353, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10458, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10553, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10656, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10754, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10858, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11058, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11154, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11257, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11458, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11556, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11664, 'Left_wheel_dist': -24, 'Right_wheel_dist': -24, 'IMU_roll': -0.02, 'IMU_pitch': -0.08, 'IMU_yaw': 3.43, 'IMU_Acc_x': -3.28, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11763, 'Left_wheel_dist': -77, 'Right_wheel_dist': -66, 'IMU_roll': -0.03, 'IMU_pitch': -0.05, 'IMU_yaw': 3.42, 'IMU_Acc_x': -0.75, 'IMU_Acc_y': -0.49, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11864, 'Left_wheel_dist': -123, 'Right_wheel_dist': -117, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.95, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11963, 'Left_wheel_dist': -174, 'Right_wheel_dist': -166, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 10.12, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12064, 'Left_wheel_dist': -219, 'Right_wheel_dist': -212, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.81, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12165, 'Left_wheel_dist': -270, 'Right_wheel_dist': -256, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12263, 'Left_wheel_dist': -314, 'Right_wheel_dist': -307, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 3.48, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12362, 'Left_wheel_dist': -365, 'Right_wheel_dist': -352, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12462, 'Left_wheel_dist': -411, 'Right_wheel_dist': -398, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.79, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12560, 'Left_wheel_dist': -462, 'Right_wheel_dist': -444, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12659, 'Left_wheel_dist': -509, 'Right_wheel_dist': -498, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.32, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12760, 'Left_wheel_dist': -560, 'Right_wheel_dist': -549, 'IMU_roll': -0.06, 'IMU_pitch': 0.08, 'IMU_yaw': 3.47, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12859, 'Left_wheel_dist': -606, 'Right_wheel_dist': -593, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 10.34, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12960, 'Left_wheel_dist': -659, 'Right_wheel_dist': -639, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.91, 'Loop_dt': 20, 'Acc_Accu': 8}
