Wed Feb 10 13:32:47 2021
Program 7: 2s Stillstand, 3s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1143}
{'Time': 9754, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10049, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10152, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10450, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10555, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10660, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10758, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10861, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10957, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11061, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11157, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11261, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11358, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11461, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11559, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11658, 'Left_wheel_dist': 26, 'Right_wheel_dist': -22, 'IMU_roll': 0.11, 'IMU_pitch': 0.03, 'IMU_yaw': 3.46, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 3.48, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11758, 'Left_wheel_dist': 66, 'Right_wheel_dist': -59, 'IMU_roll': 0.17, 'IMU_pitch': 0.07, 'IMU_yaw': 3.64, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': 3.30, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11858, 'Left_wheel_dist': 108, 'Right_wheel_dist': -108, 'IMU_roll': 0.10, 'IMU_pitch': 0.13, 'IMU_yaw': 3.81, 'IMU_Acc_x': 1.46, 'IMU_Acc_y': 0.78, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11958, 'Left_wheel_dist': 159, 'Right_wheel_dist': -157, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 3.92, 'IMU_Acc_x': 1.57, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.68, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12059, 'Left_wheel_dist': 205, 'Right_wheel_dist': -203, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 4.03, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 10.63, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12160, 'Left_wheel_dist': 259, 'Right_wheel_dist': -252, 'IMU_roll': 0.02, 'IMU_pitch': 0.16, 'IMU_yaw': 4.16, 'IMU_Acc_x': 1.85, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 10.09, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12259, 'Left_wheel_dist': 303, 'Right_wheel_dist': -305, 'IMU_roll': 0.02, 'IMU_pitch': 0.17, 'IMU_yaw': 4.32, 'IMU_Acc_x': 1.59, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.70, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12359, 'Left_wheel_dist': 356, 'Right_wheel_dist': -356, 'IMU_roll': 0.02, 'IMU_pitch': 0.19, 'IMU_yaw': 4.50, 'IMU_Acc_x': 1.79, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.66, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12460, 'Left_wheel_dist': 400, 'Right_wheel_dist': -407, 'IMU_roll': 0.02, 'IMU_pitch': 0.18, 'IMU_yaw': 4.65, 'IMU_Acc_x': 1.90, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.74, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12559, 'Left_wheel_dist': 451, 'Right_wheel_dist': -453, 'IMU_roll': 0.02, 'IMU_pitch': 0.17, 'IMU_yaw': 4.79, 'IMU_Acc_x': 1.67, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.59, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12660, 'Left_wheel_dist': 500, 'Right_wheel_dist': -509, 'IMU_roll': 0.02, 'IMU_pitch': 0.19, 'IMU_yaw': 4.95, 'IMU_Acc_x': 2.26, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.04, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12761, 'Left_wheel_dist': 553, 'Right_wheel_dist': -557, 'IMU_roll': 0.01, 'IMU_pitch': 0.17, 'IMU_yaw': 5.07, 'IMU_Acc_x': 1.88, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 9.82, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12860, 'Left_wheel_dist': 597, 'Right_wheel_dist': -606, 'IMU_roll': 0.02, 'IMU_pitch': 0.18, 'IMU_yaw': 5.23, 'IMU_Acc_x': 1.80, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
