Wed Feb 10 13:33:09 2021
Program 7: 2s Stillstand, 3s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1141}
{'Time': 9743, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10048, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10144, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10248, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10342, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10544, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10647, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10744, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10944, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11048, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
