Wed Feb 10 13:33:28 2021
Program 7: 2s Stillstand, 3s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1140}
{'Time': 9752, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9951, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10151, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10247, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10351, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10447, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10550, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
