Wed Feb 10 13:33:56 2021
Program 9: 1s Stillstand, Rampe von 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9648, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.06, 'IMU_pitch': 0.04, 'IMU_yaw': 6.16, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1145}
{'Time': 9752, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 6.15, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9848, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 6.14, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9951, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 6.14, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10048, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10152, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10248, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10352, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10449, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.12, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10552, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10650, 'Left_wheel_dist': -8, 'Right_wheel_dist': -4, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.12, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
