Wed Feb 10 13:34:23 2021
Program 9: 1s Stillstand, Rampe von 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.06, 'IMU_yaw': 5.75, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 1146}
{'Time': 9744, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.06, 'IMU_yaw': 5.75, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.86, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 5.74, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10048, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10145, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10449, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10546, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10848, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.91, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10948, 'Left_wheel_dist': -19, 'Right_wheel_dist': -6, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.69, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.71, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11048, 'Left_wheel_dist': -42, 'Right_wheel_dist': -17, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11148, 'Left_wheel_dist': -68, 'Right_wheel_dist': -35, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11248, 'Left_wheel_dist': -97, 'Right_wheel_dist': -61, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11348, 'Left_wheel_dist': -135, 'Right_wheel_dist': -92, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11448, 'Left_wheel_dist': -174, 'Right_wheel_dist': -126, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11549, 'Left_wheel_dist': -216, 'Right_wheel_dist': -170, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.01, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11651, 'Left_wheel_dist': -270, 'Right_wheel_dist': -221, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.65, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.55, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11751, 'Left_wheel_dist': -323, 'Right_wheel_dist': -272, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.65, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11851, 'Left_wheel_dist': -385, 'Right_wheel_dist': -329, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11952, 'Left_wheel_dist': -447, 'Right_wheel_dist': -398, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.26, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12052, 'Left_wheel_dist': -509, 'Right_wheel_dist': -462, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.72, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12152, 'Left_wheel_dist': -580, 'Right_wheel_dist': -531, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12253, 'Left_wheel_dist': -653, 'Right_wheel_dist': -608, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.69, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.96, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12353, 'Left_wheel_dist': -732, 'Right_wheel_dist': -684, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.69, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12453, 'Left_wheel_dist': -816, 'Right_wheel_dist': -772, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.69, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12553, 'Left_wheel_dist': -901, 'Right_wheel_dist': -861, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 10.09, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12651, 'Left_wheel_dist': -989, 'Right_wheel_dist': -949, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 12750, 'Left_wheel_dist': -1027, 'Right_wheel_dist': -991, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 5.70, 'IMU_Acc_x': 2.53, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 9.42, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12850, 'Left_wheel_dist': -1044, 'Right_wheel_dist': -1009, 'IMU_roll': 0.02, 'IMU_pitch': 0.16, 'IMU_yaw': 5.70, 'IMU_Acc_x': 3.62, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12949, 'Left_wheel_dist': -1060, 'Right_wheel_dist': -1025, 'IMU_roll': -0.02, 'IMU_pitch': 0.21, 'IMU_yaw': 5.68, 'IMU_Acc_x': 3.59, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.04, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13048, 'Left_wheel_dist': -1069, 'Right_wheel_dist': -1033, 'IMU_roll': -0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 5.65, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13154, 'Left_wheel_dist': -1071, 'Right_wheel_dist': -1038, 'IMU_roll': -0.02, 'IMU_pitch': 0.15, 'IMU_yaw': 5.68, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.00, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13252, 'Left_wheel_dist': -1073, 'Right_wheel_dist': -1040, 'IMU_roll': -0.01, 'IMU_pitch': 0.13, 'IMU_yaw': 5.69, 'IMU_Acc_x': 0.88, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13350, 'Left_wheel_dist': -1075, 'Right_wheel_dist': -1042, 'IMU_roll': 0.00, 'IMU_pitch': 0.12, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13448, 'Left_wheel_dist': -1075, 'Right_wheel_dist': -1042, 'IMU_roll': 0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.74, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13552, 'Left_wheel_dist': -1075, 'Right_wheel_dist': -1042, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 5.73, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
