Wed Feb 10 13:35:23 2021
Program 10: 1s Stillstand, Rampe Rotation von +- 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9652, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.69, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 1138}
{'Time': 9749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.71, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10053, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 1.71, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.71, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10252, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 1.71, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10348, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10451, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10548, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 10}
{'Time': 10752, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 10859, 'Left_wheel_dist': 2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10958, 'Left_wheel_dist': 6, 'Right_wheel_dist': -6, 'IMU_roll': 0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 1.72, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': 0.85, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
