Wed Feb 10 13:35:48 2021
Program 10: 1s Stillstand, Rampe Rotation von +- 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 6.03, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1145}
{'Time': 9749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9844, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10045, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10245, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10444, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10548, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10753, 'Left_wheel_dist': 2, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10849, 'Left_wheel_dist': 11, 'Right_wheel_dist': 0, 'IMU_roll': 0.05, 'IMU_pitch': 0.07, 'IMU_yaw': 6.00, 'IMU_Acc_x': 1.12, 'IMU_Acc_y': 0.65, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10947, 'Left_wheel_dist': 26, 'Right_wheel_dist': -4, 'IMU_roll': 0.07, 'IMU_pitch': 0.06, 'IMU_yaw': 6.03, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 1.08, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11046, 'Left_wheel_dist': 46, 'Right_wheel_dist': -15, 'IMU_roll': 0.09, 'IMU_pitch': 0.07, 'IMU_yaw': 6.09, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 1.09, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
