Wed Feb 10 13:36:28 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 9648, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.06, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1140}
{'Time': 9744, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9848, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9945, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10048, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10145, 'Left_wheel_dist': -2, 'Right_wheel_dist': -15, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10249, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10345, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10449, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10547, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10653, 'Left_wheel_dist': -2, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 10}
{'Time': 10752, 'Left_wheel_dist': 2, 'Right_wheel_dist': -13, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 0.10, 'IMU_Acc_x': 1.09, 'IMU_Acc_y': 0.63, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 10849, 'Left_wheel_dist': 19, 'Right_wheel_dist': -8, 'IMU_roll': 0.06, 'IMU_pitch': 0.08, 'IMU_yaw': 0.11, 'IMU_Acc_x': 1.31, 'IMU_Acc_y': 0.62, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10948, 'Left_wheel_dist': 48, 'Right_wheel_dist': 2, 'IMU_roll': 0.06, 'IMU_pitch': 0.09, 'IMU_yaw': 0.13, 'IMU_Acc_x': 1.36, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11057, 'Left_wheel_dist': 88, 'Right_wheel_dist': 22, 'IMU_roll': 0.06, 'IMU_pitch': 0.11, 'IMU_yaw': 0.15, 'IMU_Acc_x': 1.55, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.69, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 11156, 'Left_wheel_dist': 135, 'Right_wheel_dist': 44, 'IMU_roll': 0.07, 'IMU_pitch': 0.12, 'IMU_yaw': 0.19, 'IMU_Acc_x': 1.43, 'IMU_Acc_y': 0.58, 'IMU_Acc_z': 10.14, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11256, 'Left_wheel_dist': 183, 'Right_wheel_dist': 68, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 0.22, 'IMU_Acc_x': 1.13, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11357, 'Left_wheel_dist': 234, 'Right_wheel_dist': 92, 'IMU_roll': 0.04, 'IMU_pitch': 0.11, 'IMU_yaw': 0.23, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.99, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11457, 'Left_wheel_dist': 285, 'Right_wheel_dist': 119, 'IMU_roll': 0.03, 'IMU_pitch': 0.10, 'IMU_yaw': 0.26, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.55, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11557, 'Left_wheel_dist': 336, 'Right_wheel_dist': 143, 'IMU_roll': 0.03, 'IMU_pitch': 0.10, 'IMU_yaw': 0.28, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11657, 'Left_wheel_dist': 385, 'Right_wheel_dist': 170, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.74, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.57, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11756, 'Left_wheel_dist': 438, 'Right_wheel_dist': 199, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.34, 'IMU_Acc_x': 0.82, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 10.27, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11856, 'Left_wheel_dist': 489, 'Right_wheel_dist': 225, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11956, 'Left_wheel_dist': 542, 'Right_wheel_dist': 250, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.39, 'IMU_Acc_x': 0.82, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12056, 'Left_wheel_dist': 591, 'Right_wheel_dist': 274, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.41, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12156, 'Left_wheel_dist': 644, 'Right_wheel_dist': 298, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.44, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 10.18, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12256, 'Left_wheel_dist': 690, 'Right_wheel_dist': 323, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.45, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12355, 'Left_wheel_dist': 741, 'Right_wheel_dist': 349, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
