Wed Feb 10 13:37:22 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 9647, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.96, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1144}
{'Time': 9743, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9847, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.96, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10246, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.98, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.98, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.97, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10647, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.98, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10755, 'Left_wheel_dist': 6, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 1.99, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10853, 'Left_wheel_dist': 19, 'Right_wheel_dist': 4, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 2.03, 'IMU_Acc_x': 1.19, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
