Wed Feb 10 13:37:40 2021
Program 12: 1s Stillstand, 3.5s Kreisfahrt andersrum, Stillstand
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1145}
{'Time': 9749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9845, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.36, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10045, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.34, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10245, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.36, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10647, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10755, 'Left_wheel_dist': 0, 'Right_wheel_dist': 2, 'IMU_roll': -0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10853, 'Left_wheel_dist': 0, 'Right_wheel_dist': 11, 'IMU_roll': -0.06, 'IMU_pitch': 0.13, 'IMU_yaw': 3.35, 'IMU_Acc_x': 1.18, 'IMU_Acc_y': -0.82, 'IMU_Acc_z': 9.98, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10953, 'Left_wheel_dist': 8, 'Right_wheel_dist': 33, 'IMU_roll': -0.06, 'IMU_pitch': 0.14, 'IMU_yaw': 3.35, 'IMU_Acc_x': 1.40, 'IMU_Acc_y': -0.68, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11054, 'Left_wheel_dist': 22, 'Right_wheel_dist': 64, 'IMU_roll': -0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 3.32, 'IMU_Acc_x': 1.15, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 10.00, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11151, 'Left_wheel_dist': 42, 'Right_wheel_dist': 108, 'IMU_roll': -0.07, 'IMU_pitch': 0.12, 'IMU_yaw': 3.27, 'IMU_Acc_x': 1.09, 'IMU_Acc_y': -0.57, 'IMU_Acc_z': 9.26, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11251, 'Left_wheel_dist': 64, 'Right_wheel_dist': 159, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 3.25, 'IMU_Acc_x': 0.95, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.58, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11351, 'Left_wheel_dist': 86, 'Right_wheel_dist': 205, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 3.24, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.93, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11449, 'Left_wheel_dist': 110, 'Right_wheel_dist': 252, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.15, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.96, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11549, 'Left_wheel_dist': 132, 'Right_wheel_dist': 305, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 10.07, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11650, 'Left_wheel_dist': 159, 'Right_wheel_dist': 356, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 3.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11749, 'Left_wheel_dist': 183, 'Right_wheel_dist': 400, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.29, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11849, 'Left_wheel_dist': 208, 'Right_wheel_dist': 447, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.02, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11950, 'Left_wheel_dist': 232, 'Right_wheel_dist': 502, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 2.96, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12049, 'Left_wheel_dist': 254, 'Right_wheel_dist': 555, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.98, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12157, 'Left_wheel_dist': 283, 'Right_wheel_dist': 606, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.93, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.98, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12257, 'Left_wheel_dist': 307, 'Right_wheel_dist': 653, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 2.86, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.55, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12357, 'Left_wheel_dist': 329, 'Right_wheel_dist': 706, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 2.85, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.68, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12457, 'Left_wheel_dist': 354, 'Right_wheel_dist': 757, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 2.86, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 10.46, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12557, 'Left_wheel_dist': 378, 'Right_wheel_dist': 803, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 2.78, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 10.01, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12657, 'Left_wheel_dist': 402, 'Right_wheel_dist': 850, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 2.74, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.68, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12756, 'Left_wheel_dist': 427, 'Right_wheel_dist': 903, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.70, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 10.18, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12855, 'Left_wheel_dist': 449, 'Right_wheel_dist': 954, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 2.67, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.46, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12954, 'Left_wheel_dist': 475, 'Right_wheel_dist': 1002, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 2.61, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.70, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13053, 'Left_wheel_dist': 500, 'Right_wheel_dist': 1051, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 2.59, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
