Wed Feb 10 13:38:26 2021
Program 12: 1s Stillstand, 3.5s Kreisfahrt andersrum, Stillstand
{'Time': 9647, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.38, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1144}
{'Time': 9751, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9847, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10151, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10247, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10351, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.40, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10447, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 1.40, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10550, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.40, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.40, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10758, 'Left_wheel_dist': 4, 'Right_wheel_dist': 8, 'IMU_roll': 0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 1.39, 'IMU_Acc_x': 0.75, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.83, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10857, 'Left_wheel_dist': 13, 'Right_wheel_dist': 26, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 1.39, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10957, 'Left_wheel_dist': 30, 'Right_wheel_dist': 55, 'IMU_roll': -0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 1.36, 'IMU_Acc_x': 1.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11057, 'Left_wheel_dist': 50, 'Right_wheel_dist': 88, 'IMU_roll': -0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 1.34, 'IMU_Acc_x': 1.26, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.96, 'Loop_dt': 21, 'Acc_Accu': 8}
