Wed Feb 10 13:39:17 2021
Program 13: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei 0/1 m/s, 4 Wiederholungen
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.06, 'IMU_pitch': 0.06, 'IMU_yaw': 5.90, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 1142}
{'Time': 9754, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 5.90, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9859, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 9954, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10057, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10155, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10251, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10355, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10459, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10554, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10657, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10755, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
