Wed Feb 10 13:41:39 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.38, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 1135}
{'Time': 9755, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.39, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 9852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.38, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.38, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10055, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.38, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10152, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10353, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10449, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10956, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11053, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11255, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11352, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11455, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 11654, 'Left_wheel_dist': -24, 'Right_wheel_dist': -28, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.36, 'IMU_Acc_x': -3.11, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 10.08, 'Loop_dt': 20, 'Acc_Accu': 8}
