Wed Feb 10 13:42:14 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 9648, 'Left_wheel_dist': -4, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1140}
{'Time': 9742, 'Left_wheel_dist': -2, 'Right_wheel_dist': -8, 'IMU_roll': 0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9846, 'Left_wheel_dist': -4, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9943, 'Left_wheel_dist': -2, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10046, 'Left_wheel_dist': -2, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10143, 'Left_wheel_dist': -2, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10248, 'Left_wheel_dist': -2, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10342, 'Left_wheel_dist': -2, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10446, 'Left_wheel_dist': -4, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10544, 'Left_wheel_dist': -2, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10647, 'Left_wheel_dist': -4, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
