Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 1140}
{'Time': 9747, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9850, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9947, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10050, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10146, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10250, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10345, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10449, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10547, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10652, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10747, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10851, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10947, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11051, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11146, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11249, 'Left_wheel_dist': 0, 'Right_wheel_dist': -6, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
