Wed Feb 17 10:58:13 2021
Joystick Mode (120s)
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 1141}
{'Time': 9746, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9847, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 0.96, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10050, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10152, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10243, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 0.96, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10344, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 10651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10753, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11251, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 11444, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.97, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 11546, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11851, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 11954, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 12043, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 12145, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12248, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 12349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.98, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12451, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.99, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.99, 'IMU_Acc_x': 0.76, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 0.99, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 6}
